age	occupation	intercept	slope	deviance
Middle-aged	AdmClerical	-6.73919606619947	0.117363504485932	40.4327516764398
Middle-aged	CraftRepair	-2.03954345974041	0.0127255594310536	82.8788780018453
Middle-aged	ExecManage	-1.90762864061775	0.0330900734317237	84.957846020223
Middle-aged	FarmFish	-1.43448367761724	-0.00905505214742237	17.7598546009906
Middle-aged	HandlClean	-1.79310916123582	-0.0307248984820575	8.09344615369557
Middle-aged	MachOpInspct	-5.10868171287009	0.074238100148213	30.5858651812374
Middle-aged	OthServ	-3.54723984246236	0.0338948719564379	38.2746184565927
Middle-aged	ProfSpec	-0.808100369306674	0.0070458458587711	105.689299057663
Middle-aged	ProtectServ	0.913312978577583	-0.0502576203553163	14.2171902147387
Middle-aged	Sales	-3.72850469819208	0.0707604256731733	60.8937532324145
Middle-aged	TechSupport	-3.48906945707577	0.0536658033221314	19.6373249414079
Middle-aged	TransMov	-3.8381210621312	0.0432213892769032	22.3893703304979
Senior	AdmClerical	0.933513078305675	-0.0455563570072116	35.1696440840626
Senior	CraftRepair	-2.1547507188225	0.0119550487698116	33.0936214361632
Senior	ExecManage	-0.888327481530419	0.030055374806199	61.5992363585058
Senior	FarmFish	-1.57663329786139	-0.0190802221684389	6.77832507678572
Senior	HandlClean	-24.566068523509	-8.33602374627352e-16	3.4293634598358e-10
Senior	MachOpInspct	203.706409327478	-5.14130798691436	12.056645217744
Senior	OthServ	-3.71286015402442	0.0125737007152588	8.46002272146395
Senior	ProfSpec	-3.55432835523444	0.0877015024054797	39.9917308425264
Senior	ProtectServ	-2.89161382542377	0.040300784098711	4.46823471323397
Senior	Sales	-6.41868366485341	0.119223877810967	25.4656395492496
Senior	TechSupport	-4.32282302330592	0.0854745286595783	7.28388249038897
Senior	TransMov	0.911539212616341	-0.0500096653232423	17.8502232974375
Young	AdmClerical	-25.5660685235305	6.01301216009162e-16	5.67721869513242e-10
Young	CraftRepair	-24.5660685235089	-1.43482285629629e-15	4.71537475727422e-10
Young	ExecManage	-25.5660685235304	-1.94738496284682e-15	2.20780727032928e-10
Young	FarmFish	-24.566068523509	0	3.00069302735632e-10
Young	HandlClean	-4.46918034535002	0.0387447428526789	7.89563570913089
Young	MachOpInspct	-25.5660685235305	8.27463573923107e-16	2.52320830894774e-10
Young	OthServ	-26.5660685235383	-5.21324637429798e-17	2.9007907187364e-10
Young	ProfSpec	-25.5660685235304	-3.41069491953971e-16	2.68090882825698e-10
Young	ProtectServ	-23.5660685234508	1.2183856913477e-15	2.33049135538327e-10
Young	Sales	-25.5660685235304	-8.44975156238896e-16	4.41561454065855e-10
Young	TechSupport	-23.5660685234508	8.15841651943767e-16	4.66098271076654e-10
Young	TransMov	-6.71112497335936	0.107608201517239	6.1079646861297
