age	occupation	intercept	slope	deviance	note
Middle-aged	ProtectServ	0.913312978577583	-0.0502576203553163	14.2171902147387	worst-occupation
Middle-aged	HandlClean	-1.79310916123582	-0.0307248984820575	8.09344615369557	worst-occupation
Middle-aged	FarmFish	-1.43448367761724	-0.00905505214742237	17.7598546009906	worst-occupation
Middle-aged	Sales	-3.72850469819208	0.0707604256731733	60.8937532324145	best-occupation
Middle-aged	MachOpInspct	-5.10868171287009	0.074238100148213	30.5858651812374	best-occupation
Middle-aged	AdmClerical	-6.73919606619947	0.117363504485932	40.4327516764398	best-occupation
Senior	MachOpInspct	203.706409327478	-5.14130798691436	12.056645217744	worst-occupation
Senior	TransMov	0.911539212616341	-0.0500096653232423	17.8502232974375	worst-occupation
Senior	AdmClerical	0.933513078305675	-0.0455563570072116	35.1696440840626	worst-occupation
Senior	TechSupport	-4.32282302330592	0.0854745286595783	7.28388249038897	best-occupation
Senior	ProfSpec	-3.55432835523444	0.0877015024054797	39.9917308425264	best-occupation
Senior	Sales	-6.41868366485341	0.119223877810967	25.4656395492496	best-occupation
Young	ExecManage	-25.5660685235304	-1.94738496284682e-15	2.20780727032928e-10	worst-occupation
Young	CraftRepair	-24.5660685235089	-1.43482285629629e-15	4.71537475727422e-10	worst-occupation
Young	Sales	-25.5660685235304	-8.44975156238896e-16	4.41561454065855e-10	worst-occupation
Young	ProtectServ	-23.5660685234508	1.2183856913477e-15	2.33049135538327e-10	best-occupation
Young	HandlClean	-4.46918034535002	0.0387447428526789	7.89563570913089	best-occupation
Young	TransMov	-6.71112497335936	0.107608201517239	6.1079646861297	best-occupation
